Adress: 4295163536, Name: update_ui_slider_click_end
Adress: 4295163920, Name: asan.module_ctor
Adress: 4295163936, Name: uic_center_win_w
Adress: 4295164112, Name: uic_center_win_h
Adress: 4295164288, Name: uic_center_win
Adress: 4295164336, Name: asan.module_ctor
Adress: 4295164352, Name: uic_padding_up
Adress: 4295164464, Name: uic_padding_right
Adress: 4295164576, Name: uic_padding_down
Adress: 4295164688, Name: uic_padding_left
Adress: 4295164800, Name: uic_padding
Adress: 4295166048, Name: asan.module_ctor
Adress: 4295166064, Name: uic_below
Adress: 4295166736, Name: uic_above
Adress: 4295167408, Name: uic_side_left
Adress: 4295168080, Name: uic_side_right
Adress: 4295168752, Name: asan.module_ctor
Adress: 4295168768, Name: render_main_menu
Adress: 4295168960, Name: update_main_menu
Adress: 4295169152, Name: update_main_menu_click_begin
Adress: 4295169360, Name: update_main_menu_click_end
Adress: 4295169568, Name: asan.module_ctor
Adress: 4295169584, Name: btn_continue
Adress: 4295169856, Name: btn_new_game
Adress: 4295170032, Name: btn_load_game
Adress: 4295170304, Name: btn_editor
Adress: 4295170400, Name: btn_option
Adress: 4295170496, Name: asan.module_ctor
Adress: 4295170528, Name: asan.module_dtor
Adress: 4295170544, Name: btn_exit_app
Adress: 4295170640, Name: asan.module_ctor
Adress: 4295170656, Name: init_main_menu
Adress: 4295175504, Name: init_positions
Adress: 4295179808, Name: asan.module_ctor
Adress: 4295179840, Name: asan.module_dtor
Adress: 4295179856, Name: render_new_game_menu
Adress: 4295180112, Name: update_new_game_menu
Adress: 4295180368, Name: update_new_game_menu_click_begin
Adress: 4295180656, Name: update_new_game_menu_click_end
Adress: 4295180944, Name: refresh_new_game_menu
Adress: 4295181008, Name: asan.module_ctor
Adress: 4295181024, Name: init_new_game_menu
Adress: 4295186512, Name: update_display_status
Adress: 4295186928, Name: init_textures
Adress: 4295189712, Name: init_positions
Adress: 4295194960, Name: asan.module_ctor
Adress: 4295194992, Name: asan.module_dtor
Adress: 4295195008, Name: btn_select_save1
Adress: 4295195408, Name: btn_select_save2
Adress: 4295195808, Name: btn_select_save3
Adress: 4295196208, Name: btn_select_save4
Adress: 4295196608, Name: btn_select_save5
Adress: 4295197008, Name: asan.module_ctor
Adress: 4295197024, Name: btn_new_game_back
Adress: 4295197200, Name: btn_new_game_down
Adress: 4295197520, Name: btn_new_game_up
Adress: 4295197760, Name: btn_start_new_game
Adress: 4295198560, Name: asan.module_ctor
Adress: 4295198592, Name: asan.module_dtor
Adress: 4295198608, Name: load_bitmap_font
Adress: 4295199728, Name: unload_bitmap_font
Adress: 4295199856, Name: asan.module_ctor
Adress: 4295199888, Name: asan.module_dtor
Adress: 4295199904, Name: load_font_meta
Adress: 4295200192, Name: load_font_infos
Adress: 4295201104, Name: load_font_chars
Adress: 4295201568, Name: parse_char_infos
Adress: 4295201968, Name: populate_char_info
Adress: 4295203072, Name: asan.module_ctor
Adress: 4295203104, Name: asan.module_dtor
Adress: 4295203120, Name: render_text
Adress: 4295204544, Name: render_letter
Adress: 4295207808, Name: get_pixel_color
Adress: 4295210080, Name: render_pixel
Adress: 4295210992, Name: sample_pixel
Adress: 4295214144, Name: asan.module_ctor
Adress: 4295214160, Name: init_font_manager
Adress: 4295214224, Name: add_font
Adress: 4295215216, Name: get_font
Adress: 4295215616, Name: unload_font_manager
Adress: 4295216000, Name: grow_font_array
Adress: 4295216656, Name: asan.module_ctor
Adress: 4295216688, Name: asan.module_dtor
Adress: 4295216704, Name: render_text_tex
Adress: 4295218480, Name: render_letter
Adress: 4295222032, Name: get_pixel_color
Adress: 4295224304, Name: render_pixel
Adress: 4295225248, Name: sample_pixel
Adress: 4295228400, Name: asan.module_ctor
Adress: 4295228416, Name: get_text_width
Adress: 4295229504, Name: get_text_height
Adress: 4295229584, Name: get_min_y_offset
Adress: 4295230640, Name: get_max_y_offset
Adress: 4295232208, Name: get_text_size
Adress: 4295232832, Name: asan.module_ctor
Adress: 4295232848, Name: text_center_height
Adress: 4295233872, Name: text_center_width
Adress: 4295234816, Name: text_center
Adress: 4295236512, Name: asan.module_ctor
Adress: 4295236528, Name: get_text_box_size
Adress: 4295237152, Name: get_text_box_height
Adress: 4295238144, Name: asan.module_ctor
Adress: 4295238160, Name: __cyg_profile_func_enter
Adress: 4295238720, Name: __cyg_profile_func_exit
Adress: 4295239280, Name: asan.module_ctor
Adress: 4295239312, Name: asan.module_dtor
Adress: 4295239328, Name: display_log
Adress: 4295239440, Name: mlx_shaders_pixel
Adress: 4295240048, Name: mlx_shaders_image
